Round,Task,Loss,Accuracy,Micro_P,Micro_R,Micro_F1,Macro_P,Macro_R,Macro_F1,Weighted_P,Weighted_R,Weighted_F1,Macro_FPR
21,0,4.737476395042964,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
22,0,4.156959880737622,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
23,0,6.328605508505727,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
24,0,5.027585515567128,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
25,0,7.978964350137782,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
26,0,1.3605782003050504,0.00280362831876061,0.00280362831876061,0.00280362831876061,0.00280362831876061,0.0006835181293412663,0.1666667438191238,0.000932237906558442,0.00112574027590257,0.00280362831876061,1.6474739644734754e-05,0.16698597713034424
27,0,4.562902761551138,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
28,0,3.5161236746831293,0.8618852974092271,0.8618852974092271,0.8618852974092271,0.8618852974092271,0.14364754956820452,0.16666666666666666,0.1543033287475732,0.742846265890192,0.8618852974092271,0.7979506223330153,0.16666666666666183
29,0,8.76661442598802,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
30,0,7.773462407258911,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
